Target Distance: 1233, Step Size: 12
2797: (x,y) = (-671.905, 101.258)
2798: (x,y) = (-673.783, 113.11)
2799: (x,y) = (-681.655, 122.167)
2800: (x,y) = (-689.528, 131.223)
2801: (x,y) = (-684.268, 142.009)
2802: (x,y) = (-673.482, 136.748)
2803: (x,y) = (-661.63, 134.871)
2804: (x,y) = (-663.507, 146.723)
2805: (x,y) = (-673.455, 153.434)
2806: (x,y) = (-661.864, 156.54)
2807: (x,y) = (-656.047, 167.035)
2808: (x,y) = (-651.746, 155.832)
2809: (x,y) = (-654.036, 144.053)
2810: (x,y) = (-662.22, 152.829)
2811: (x,y) = (-672.912, 158.277)
2812: (x,y) = (-681.397, 166.762)
2813: (x,y) = (-669.426, 165.925)
2814: (x,y) = (-676.137, 175.873)
2815: (x,y) = (-687.34, 180.174)
2816: (x,y) = (-676.137, 175.873)
2817: (x,y) = (-668.749, 166.417)
2818: (x,y) = (-680.72, 167.254)
2819: (x,y) = (-692.255, 170.562)
2820: (x,y) = (-703.04, 175.822)
2821: (x,y) = (-691.914, 171.327)
2822: (x,y) = (-702.509, 165.693)
2823: (x,y) = (-693.184, 158.142)
2824: (x,y) = (-682.492, 163.589)
2825: (x,y) = (-674.006, 172.075)
2826: (x,y) = (-664.177, 165.192)
2827: (x,y) = (-661.477, 176.884)
2828: (x,y) = (-667.295, 166.389)
2829: (x,y) = (-674.517, 156.805)
2830: (x,y) = (-671.817, 145.113)
2831: (x,y) = (-680.153, 136.481)
2832: (x,y) = (-683.662, 147.956)
2833: (x,y) = (-690.715, 157.665)
2834: (x,y) = (-701.918, 161.965)
2835: (x,y) = (-710.102, 153.189)
2836: (x,y) = (-713.61, 164.664)
2837: (x,y) = (-709.115, 175.791)
2838: (x,y) = (-700.931, 167.014)
2839: (x,y) = (-710.257, 174.566)
2840: (x,y) = (-721.383, 170.071)
2841: (x,y) = (-713.199, 161.295)
2842: (x,y) = (-705.811, 170.751)
2843: (x,y) = (-715.988, 177.11)
2844: (x,y) = (-711.492, 165.984)
2845: (x,y) = (-699.901, 169.089)
2846: (x,y) = (-706.612, 179.038)
2847: (x,y) = (-709.919, 167.503)
2848: (x,y) = (-718.551, 175.839)
2849: (x,y) = (-713.48, 164.963)
2850: (x,y) = (-725.434, 166.009)
2851: (x,y) = (-719.801, 176.604)
2852: (x,y) = (-717.101, 164.912)
2853: (x,y) = (-708.765, 156.28)
2854: (x,y) = (-706.476, 168.059)
2855: (x,y) = (-696.083, 162.059)
2856: (x,y) = (-692.977, 150.468)
2857: (x,y) = (-694.648, 162.351)
2858: (x,y) = (-686.464, 171.128)
2859: (x,y) = (-698.456, 170.709)
2860: (x,y) = (-687.861, 176.342)
2861: (x,y) = (-676.585, 172.238)
2862: (x,y) = (-684.614, 181.156)
2863: (x,y) = (-672.643, 181.993)
2864: (x,y) = (-683.239, 176.359)
2865: (x,y) = (-675.366, 185.416)
2866: (x,y) = (-663.373, 184.997)
2867: (x,y) = (-672.566, 177.284)
2868: (x,y) = (-670.276, 189.063)
2869: (x,y) = (-678.149, 180.007)
2870: (x,y) = (-685.371, 189.59)
2871: (x,y) = (-697.15, 191.88)
2872: (x,y) = (-689.277, 200.936)
2873: (x,y) = (-681.094, 209.713)
2874: (x,y) = (-690.419, 202.161)
2875: (x,y) = (-681.787, 210.497)
2876: (x,y) = (-693.78, 210.078)
2877: (x,y) = (-699.414, 199.483)
2878: (x,y) = (-711.397, 200.111)
2879: (x,y) = (-708.291, 188.52)
2880: (x,y) = (-720.275, 187.891)
2881: (x,y) = (-728.304, 196.809)
2882: (x,y) = (-716.394, 195.347)
2883: (x,y) = (-721.083, 184.301)
2884: (x,y) = (-711.253, 191.184)
2885: (x,y) = (-716.701, 201.876)
2886: (x,y) = (-723.754, 211.584)
2887: (x,y) = (-715.122, 219.92)
2888: (x,y) = (-714.076, 207.965)
2889: (x,y) = (-703.291, 213.226)
2890: (x,y) = (-701.621, 201.343)
2891: (x,y) = (-706.309, 212.389)
2892: (x,y) = (-701.049, 201.603)
2893: (x,y) = (-712.525, 205.112)
2894: (x,y) = (-720.076, 195.786)
2895: (x,y) = (-731.72, 192.883)
2896: (x,y) = (-719.766, 191.837)
2897: (x,y) = (-708.29, 195.345)
2898: (x,y) = (-700.902, 185.889)
2899: (x,y) = (-696.995, 174.543)
2900: (x,y) = (-687.412, 181.765)
2901: (x,y) = (-696.737, 189.317)
2902: (x,y) = (-707.429, 194.765)
2903: (x,y) = (-717.493, 201.3)
2904: (x,y) = (-724.881, 210.756)
2905: (x,y) = (-713.605, 206.652)
2906: (x,y) = (-713.814, 218.65)
2907: (x,y) = (-705.329, 210.165)
2908: (x,y) = (-714.785, 217.553)
2909: (x,y) = (-711.277, 206.077)
2910: (x,y) = (-706.782, 194.951)
2911: (x,y) = (-718.317, 198.259)
2912: (x,y) = (-711.606, 188.31)
2913: (x,y) = (-720.932, 180.759)
2914: (x,y) = (-731.218, 186.939)
2915: (x,y) = (-737.399, 197.225)
2916: (x,y) = (-727.006, 191.225)
2917: (x,y) = (-728.884, 203.077)
2918: (x,y) = (-721.496, 193.621)
2919: (x,y) = (-722.958, 181.711)
2920: (x,y) = (-713.374, 188.932)
2921: (x,y) = (-704.049, 196.484)
2922: (x,y) = (-692.458, 193.378)
2923: (x,y) = (-683.54, 185.349)
2924: (x,y) = (-672.848, 179.901)
2925: (x,y) = (-661.972, 174.829)
2926: (x,y) = (-649.988, 175.458)
2927: (x,y) = (-655.436, 164.765)
2928: (x,y) = (-649.436, 154.373)
2929: (x,y) = (-649.018, 142.38)
2930: (x,y) = (-656.239, 132.797)
2931: (x,y) = (-645.454, 138.057)
2932: (x,y) = (-635.998, 145.445)
2933: (x,y) = (-633.298, 133.753)
2934: (x,y) = (-626.939, 123.576)
2935: (x,y) = (-631.043, 112.3)
2936: (x,y) = (-642.39, 108.393)
2937: (x,y) = (-631.263, 103.898)
2938: (x,y) = (-620.668, 98.2641)
2939: (x,y) = (-610.382, 92.0837)
2940: (x,y) = (-622.316, 90.8293)
2941: (x,y) = (-611.721, 96.463)
2942: (x,y) = (-603.089, 104.799)
2943: (x,y) = (-596.035, 95.0907)
2944: (x,y) = (-607.571, 91.783)
2945: (x,y) = (-601.753, 81.2876)
2946: (x,y) = (-610.945, 73.5742)
2947: (x,y) = (-622.944, 73.7836)
2948: (x,y) = (-611.408, 70.4759)
2949: (x,y) = (-621.585, 76.835)
2950: (x,y) = (-630.503, 84.8645)
2951: (x,y) = (-642.038, 88.1722)
2952: (x,y) = (-653.514, 91.6806)
2953: (x,y) = (-643.228, 97.8611)
2954: (x,y) = (-639.719, 109.337)
2955: (x,y) = (-651.63, 110.799)
2956: (x,y) = (-663.105, 114.308)
2957: (x,y) = (-653.913, 106.594)
2958: (x,y) = (-653.285, 94.6106)
2959: (x,y) = (-659.285, 105.003)
2960: (x,y) = (-650.653, 113.339)
2961: (x,y) = (-647.953, 125.031)
2962: (x,y) = (-653.214, 135.817)
2963: (x,y) = (-654.26, 147.771)
2964: (x,y) = (-665.135, 152.843)
2965: (x,y) = (-658.425, 142.894)
2966: (x,y) = (-654.321, 154.17)
2967: (x,y) = (-650.414, 165.517)
2968: (x,y) = (-655.295, 154.554)
2969: (x,y) = (-643.819, 151.046)
2970: (x,y) = (-642.357, 139.135)
2971: (x,y) = (-652.643, 145.316)
2972: (x,y) = (-640.863, 147.605)
2973: (x,y) = (-636.563, 136.402)
2974: (x,y) = (-628.849, 145.595)
2975: (x,y) = (-633.538, 134.549)
2976: (x,y) = (-639.719, 144.835)
2977: (x,y) = (-648.636, 136.805)
2978: (x,y) = (-653.708, 125.93)
2979: (x,y) = (-665.7, 125.511)
2980: (x,y) = (-653.963, 123.016)
2981: (x,y) = (-647.252, 132.964)
2982: (x,y) = (-659.223, 132.127)
2983: (x,y) = (-670.009, 137.388)
2984: (x,y) = (-660.425, 144.609)
2985: (x,y) = (-648.471, 143.564)
2986: (x,y) = (-656.655, 152.34)
2987: (x,y) = (-656.027, 164.323)
2988: (x,y) = (-667.23, 160.023)
2989: (x,y) = (-679.228, 159.813)
2990: (x,y) = (-667.23, 160.023)
2991: (x,y) = (-656.354, 154.951)
2992: (x,y) = (-662.534, 165.237)
2993: (x,y) = (-673.881, 161.331)
2994: (x,y) = (-672.835, 173.285)
2995: (x,y) = (-669.326, 184.761)
2996: (x,y) = (-679.275, 191.471)
2997: (x,y) = (-684.535, 202.257)
2998: (x,y) = (-672.843, 199.557)
2999: (x,y) = (-680.231, 209.013)
3000: (x,y) = (-687.114, 218.843)
3001: (x,y) = (-677.405, 225.896)
3002: (x,y) = (-684.459, 235.605)
3003: (x,y) = (-695.805, 231.698)
3004: (x,y) = (-689.446, 241.874)
3005: (x,y) = (-680.528, 249.904)
3006: (x,y) = (-690.814, 256.084)
3007: (x,y) = (-680.122, 261.532)
3008: (x,y) = (-691.398, 257.428)
3009: (x,y) = (-697.032, 246.833)
3010: (x,y) = (-689.159, 255.889)
3011: (x,y) = (-697.645, 247.404)
3012: (x,y) = (-690.934, 237.456)
3013: (x,y) = (-700.883, 230.745)
3014: (x,y) = (-712.358, 227.237)
3015: (x,y) = (-715.666, 238.772)
3016: (x,y) = (-707.034, 230.436)
3017: (x,y) = (-695.05, 231.064)
3018: (x,y) = (-702.764, 221.871)
3019: (x,y) = (-710.637, 230.928)
3020: (x,y) = (-721.84, 226.628)
3021: (x,y) = (-723.094, 214.693)
3022: (x,y) = (-727.198, 203.417)
3023: (x,y) = (-734.912, 212.61)
3024: (x,y) = (-744.104, 204.896)
3025: (x,y) = (-735.92, 213.672)
3026: (x,y) = (-723.986, 214.927)
3027: (x,y) = (-731.538, 205.601)
3028: (x,y) = (-743.448, 207.063)
3029: (x,y) = (-743.239, 195.065)
3030: (x,y) = (-754.024, 200.326)
3031: (x,y) = (-742.433, 203.431)
3032: (x,y) = (-747.505, 192.556)
3033: (x,y) = (-754.727, 182.972)
3034: (x,y) = (-766.464, 180.477)
3035: (x,y) = (-778.419, 181.523)
3036: (x,y) = (-774.118, 192.726)
3037: (x,y) = (-773.49, 180.742)
3038: (x,y) = (-775.985, 192.48)
3039: (x,y) = (-782.166, 182.194)
3040: (x,y) = (-774.452, 191.387)
3041: (x,y) = (-762.452, 191.387)
3042: (x,y) = (-757.192, 180.601)
3043: (x,y) = (-748.56, 188.937)
3044: (x,y) = (-760.095, 185.63)
3045: (x,y) = (-769.803, 178.576)
3046: (x,y) = (-769.175, 166.593)
3047: (x,y) = (-764.294, 177.555)
3048: (x,y) = (-763.457, 189.526)
3049: (x,y) = (-775.236, 187.236)
3050: (x,y) = (-785.523, 181.056)
3051: (x,y) = (-773.879, 178.153)
3052: (x,y) = (-769.579, 166.95)
3053: (x,y) = (-768.951, 178.933)
3054: (x,y) = (-776.823, 169.877)
3055: (x,y) = (-765.777, 165.188)
3056: (x,y) = (-770.658, 154.225)
3057: (x,y) = (-782.134, 150.717)
3058: (x,y) = (-787.394, 139.931)
3059: (x,y) = (-793.575, 150.217)
3060: (x,y) = (-787.216, 160.394)
3061: (x,y) = (-790.321, 171.985)
3062: (x,y) = (-793.629, 160.45)
3063: (x,y) = (-804.592, 155.569)
3064: (x,y) = (-814.768, 161.928)
3065: (x,y) = (-806.283, 170.413)
3066: (x,y) = (-818.193, 168.951)
3067: (x,y) = (-823.641, 179.643)
3068: (x,y) = (-834.427, 174.383)
3069: (x,y) = (-836.097, 186.266)
3070: (x,y) = (-824.126, 187.103)
3071: (x,y) = (-836.119, 187.522)
3072: (x,y) = (-846.183, 180.986)
3073: (x,y) = (-844.099, 169.168)
3074: (x,y) = (-835.915, 160.392)
3075: (x,y) = (-835.287, 172.376)
3076: (x,y) = (-828.234, 182.084)
3077: (x,y) = (-830.317, 170.266)
3078: (x,y) = (-826.017, 181.469)
3079: (x,y) = (-835.21, 173.756)
3080: (x,y) = (-833.955, 185.69)
3081: (x,y) = (-829.851, 196.966)
3082: (x,y) = (-818.648, 201.267)
3083: (x,y) = (-809.872, 209.451)
3084: (x,y) = (-808.409, 197.54)
3085: (x,y) = (-816.282, 206.597)
3086: (x,y) = (-828.062, 208.886)
3087: (x,y) = (-839.879, 210.97)
3088: (x,y) = (-832.166, 201.778)
3089: (x,y) = (-841.749, 194.556)
3090: (x,y) = (-852.876, 190.06)
3091: (x,y) = (-840.876, 190.06)
3092: (x,y) = (-829.096, 192.35)
3093: (x,y) = (-819.77, 184.798)
3094: (x,y) = (-815.082, 173.752)
3095: (x,y) = (-816.752, 161.869)
3096: (x,y) = (-808.266, 153.384)
3097: (x,y) = (-806.596, 165.267)
3098: (x,y) = (-798.883, 156.074)
3099: (x,y) = (-791.169, 165.267)
3100: (x,y) = (-788.266, 153.623)
3101: (x,y) = (-782.266, 143.231)
3102: (x,y) = (-789.488, 133.648)
3103: (x,y) = (-782.1, 143.104)
3104: (x,y) = (-770.754, 147.01)
3105: (x,y) = (-781.446, 152.458)
3106: (x,y) = (-776.951, 141.332)
3107: (x,y) = (-772.262, 152.378)
3108: (x,y) = (-768.754, 140.903)
3109: (x,y) = (-768.963, 152.901)
3110: (x,y) = (-768.335, 140.917)
3111: (x,y) = (-775.723, 131.461)
3112: (x,y) = (-787.677, 132.507)
3113: (x,y) = (-783.573, 121.231)
3114: (x,y) = (-787.081, 132.706)
3115: (x,y) = (-776.296, 127.446)
3116: (x,y) = (-764.413, 125.776)
3117: (x,y) = (-759.917, 136.902)
3118: (x,y) = (-764.606, 125.856)
3119: (x,y) = (-765.652, 137.81)
3120: (x,y) = (-754.96, 143.258)
3121: (x,y) = (-759.841, 154.221)
3122: (x,y) = (-766.724, 164.05)
3123: (x,y) = (-770.232, 175.526)
3124: (x,y) = (-765.161, 164.65)
3125: (x,y) = (-760.089, 175.526)
3126: (x,y) = (-770.781, 170.078)
3127: (x,y) = (-766.093, 159.032)
3128: (x,y) = (-754.746, 162.939)
3129: (x,y) = (-743.334, 159.231)
3130: (x,y) = (-754.746, 162.939)
3131: (x,y) = (-742.754, 162.52)
3132: (x,y) = (-754.397, 165.423)
3133: (x,y) = (-765.523, 169.919)
3134: (x,y) = (-756.606, 177.948)
3135: (x,y) = (-766.554, 171.238)
3136: (x,y) = (-761.865, 182.284)
3137: (x,y) = (-772.741, 177.212)
3138: (x,y) = (-784.675, 175.958)
3139: (x,y) = (-774.389, 182.139)
3140: (x,y) = (-774.18, 170.14)
3141: (x,y) = (-769.88, 181.343)
3142: (x,y) = (-763.88, 191.736)
3143: (x,y) = (-760.774, 180.145)
3144: (x,y) = (-761.402, 192.128)
3145: (x,y) = (-773.181, 194.418)
3146: (x,y) = (-764.264, 186.388)
3147: (x,y) = (-773.32, 194.261)
3148: (x,y) = (-762.725, 199.895)
3149: (x,y) = (-773.851, 195.399)
3150: (x,y) = (-781.403, 186.074)
3151: (x,y) = (-770.44, 190.954)
3152: (x,y) = (-766.932, 179.479)
3153: (x,y) = (-756.539, 173.479)
3154: (x,y) = (-746.363, 179.838)
3155: (x,y) = (-736.907, 172.45)
3156: (x,y) = (-742.355, 183.142)
3157: (x,y) = (-754.338, 182.514)
3158: (x,y) = (-762.211, 173.457)
3159: (x,y) = (-772.706, 167.64)
3160: (x,y) = (-782.655, 174.35)
3161: (x,y) = (-793.44, 179.61)
3162: (x,y) = (-804.226, 174.35)
3163: (x,y) = (-794.162, 167.814)
3164: (x,y) = (-794.999, 179.785)
3165: (x,y) = (-796.045, 167.831)
3166: (x,y) = (-788.172, 176.887)
3167: (x,y) = (-793.806, 187.483)
3168: (x,y) = (-799.254, 198.175)
3169: (x,y) = (-787.841, 201.883)
3170: (x,y) = (-783.152, 212.929)
3171: (x,y) = (-773.444, 219.982)
3172: (x,y) = (-780.497, 229.691)
3173: (x,y) = (-781.96, 241.601)
3174: (x,y) = (-770.914, 246.29)
3175: (x,y) = (-759.134, 248.58)
3176: (x,y) = (-764.952, 259.075)
3177: (x,y) = (-775.914, 263.956)
3178: (x,y) = (-777.584, 252.073)
3179: (x,y) = (-789.176, 248.967)
3180: (x,y) = (-782.122, 239.259)
3181: (x,y) = (-770.846, 235.154)
3182: (x,y) = (-782.817, 235.992)
3183: (x,y) = (-771.47, 239.898)
3184: (x,y) = (-763.598, 248.955)
3185: (x,y) = (-755.725, 239.898)
3186: (x,y) = (-747.852, 248.955)
3187: (x,y) = (-758.138, 255.135)
3188: (x,y) = (-769.341, 259.436)
3189: (x,y) = (-757.37, 258.599)
3190: (x,y) = (-769.354, 257.971)
3191: (x,y) = (-766.248, 269.562)
3192: (x,y) = (-757.33, 277.591)
3193: (x,y) = (-746.204, 282.087)
3194: (x,y) = (-745.158, 270.132)
3195: (x,y) = (-738.623, 260.068)
3196: (x,y) = (-726.639, 260.696)
3197: (x,y) = (-718.154, 269.181)
3198: (x,y) = (-726.49, 277.814)
3199: (x,y) = (-732.307, 288.309)
3200: (x,y) = (-739.695, 297.765)
3201: (x,y) = (-728.104, 294.659)
3202: (x,y) = (-735.158, 304.368)
3203: (x,y) = (-741.158, 314.76)
3204: (x,y) = (-729.203, 315.806)
3205: (x,y) = (-720.011, 308.092)
3206: (x,y) = (-712.957, 298.384)
3207: (x,y) = (-708.853, 287.108)
3208: (x,y) = (-701.8, 296.816)
3209: (x,y) = (-698.492, 308.351)
3210: (x,y) = (-688.544, 315.061)
3211: (x,y) = (-693.992, 325.753)
3212: (x,y) = (-683.815, 332.112)
3213: (x,y) = (-691.845, 323.195)
3214: (x,y) = (-691.845, 335.195)
3215: (x,y) = (-680.201, 332.292)
3216: (x,y) = (-676.294, 320.945)
3217: (x,y) = (-669.241, 311.237)
3218: (x,y) = (-667.157, 323.055)
3219: (x,y) = (-678.748, 326.161)
3220: (x,y) = (-670.116, 334.497)
3221: (x,y) = (-678.748, 342.833)
3222: (x,y) = (-688.925, 336.474)
3223: (x,y) = (-698.755, 343.356)
3224: (x,y) = (-690.571, 334.58)
3225: (x,y) = (-702.388, 336.664)
3226: (x,y) = (-690.388, 336.664)
3227: (x,y) = (-687.282, 325.073)
3228: (x,y) = (-698.758, 321.564)
3229: (x,y) = (-704.392, 310.969)
3230: (x,y) = (-700.684, 322.382)
3231: (x,y) = (-688.691, 321.963)
3232: (x,y) = (-687.021, 310.08)
3233: (x,y) = (-698.664, 307.177)
3234: (x,y) = (-687.388, 303.072)
3235: (x,y) = (-678.612, 294.888)
3236: (x,y) = (-681.919, 306.424)
3237: (x,y) = (-682.129, 318.422)
3238: (x,y) = (-677.634, 307.296)
3239: (x,y) = (-665.641, 307.714)
3240: (x,y) = (-668.34, 296.022)
3241: (x,y) = (-680.338, 295.812)
3242: (x,y) = (-691.384, 291.124)
3243: (x,y) = (-694.084, 279.431)
3244: (x,y) = (-693.874, 267.433)
3245: (x,y) = (-704.47, 261.799)
3246: (x,y) = (-701.162, 250.264)
3247: (x,y) = (-690.567, 244.631)
3248: (x,y) = (-678.923, 247.534)
3249: (x,y) = (-677.877, 235.579)
3250: (x,y) = (-688.373, 241.397)
3251: (x,y) = (-699.576, 237.097)
3252: (x,y) = (-711.111, 240.404)
3253: (x,y) = (-707.803, 251.939)
3254: (x,y) = (-696.111, 254.639)
3255: (x,y) = (-698.606, 266.377)
3256: (x,y) = (-687.015, 263.271)
3257: (x,y) = (-698.606, 266.377)
3258: (x,y) = (-710.423, 264.293)
3259: (x,y) = (-717.477, 254.585)
3260: (x,y) = (-707.769, 247.531)
3261: (x,y) = (-705.479, 259.311)
3262: (x,y) = (-693.944, 256.003)
3263: (x,y) = (-691.244, 267.696)
3264: (x,y) = (-698.958, 258.503)
3265: (x,y) = (-705.841, 268.333)
3266: (x,y) = (-700.023, 278.828)
3267: (x,y) = (-700.651, 266.845)
3268: (x,y) = (-695.58, 255.969)
3269: (x,y) = (-691.872, 267.382)
3270: (x,y) = (-681.376, 273.199)
3271: (x,y) = (-669.638, 275.694)
3272: (x,y) = (-677.19, 266.369)
3273: (x,y) = (-679.067, 278.221)
3274: (x,y) = (-669.875, 285.934)
3275: (x,y) = (-680.47, 280.301)
3276: (x,y) = (-672.441, 271.383)
3277: (x,y) = (-683.133, 276.831)
3278: (x,y) = (-675.745, 267.375)
3279: (x,y) = (-686.871, 262.879)
3280: (x,y) = (-686.034, 250.909)
3281: (x,y) = (-690.334, 239.706)
3282: (x,y) = (-682.782, 249.031)
3283: (x,y) = (-682.782, 261.031)
3284: (x,y) = (-690.334, 251.706)
3285: (x,y) = (-690.753, 239.713)
3286: (x,y) = (-680.467, 233.533)
3287: (x,y) = (-692.421, 234.578)
3288: (x,y) = (-697.11, 245.624)
3289: (x,y) = (-686.235, 250.696)
3290: (x,y) = (-674.455, 248.406)
3291: (x,y) = (-678.362, 259.752)
3292: (x,y) = (-668.185, 266.111)
3293: (x,y) = (-672.289, 277.388)
3294: (x,y) = (-672.289, 265.388)
3295: (x,y) = (-680.162, 274.444)
3296: (x,y) = (-687.55, 264.988)
3297: (x,y) = (-676.674, 270.06)
3298: (x,y) = (-685.307, 261.724)
3299: (x,y) = (-674.344, 256.843)
3300: (x,y) = (-676.014, 268.726)
3301: (x,y) = (-681.832, 279.221)
3302: (x,y) = (-690.749, 271.192)
3303: (x,y) = (-692.004, 259.258)
3304: (x,y) = (-683.086, 267.287)
3305: (x,y) = (-690.8, 258.095)
3306: (x,y) = (-678.982, 260.178)
3307: (x,y) = (-673.534, 249.486)
3308: (x,y) = (-685.488, 248.44)
3309: (x,y) = (-694.406, 240.411)
3310: (x,y) = (-683.203, 236.11)
3311: (x,y) = (-671.249, 235.065)
3312: (x,y) = (-682.211, 239.945)
3313: (x,y) = (-670.219, 239.527)
3314: (x,y) = (-661.883, 248.159)
3315: (x,y) = (-649.972, 249.621)
3316: (x,y) = (-639.28, 244.173)
3317: (x,y) = (-629.572, 237.12)
3318: (x,y) = (-620.515, 244.993)
3319: (x,y) = (-610.123, 250.993)
3320: (x,y) = (-620.815, 256.44)
3321: (x,y) = (-630.992, 250.081)
3322: (x,y) = (-634.7, 261.494)
3323: (x,y) = (-641.059, 251.318)
3324: (x,y) = (-645.748, 262.364)
3325: (x,y) = (-641.447, 273.567)
3326: (x,y) = (-652.65, 269.266)
3327: (x,y) = (-652.441, 281.264)
3328: (x,y) = (-641.165, 285.369)
3329: (x,y) = (-647.345, 275.083)
3330: (x,y) = (-644.646, 286.775)
3331: (x,y) = (-656.289, 289.678)
3332: (x,y) = (-668.287, 289.469)
3333: (x,y) = (-656.353, 288.214)
3334: (x,y) = (-654.063, 299.994)
3335: (x,y) = (-665.026, 304.875)
3336: (x,y) = (-653.98, 300.186)
3337: (x,y) = (-642.242, 297.691)
3338: (x,y) = (-632.065, 291.332)
3339: (x,y) = (-634.149, 303.15)
3340: (x,y) = (-623.554, 297.516)
3341: (x,y) = (-623.344, 309.514)
3342: (x,y) = (-635.228, 311.184)
3343: (x,y) = (-636.69, 299.274)
3344: (x,y) = (-628.058, 307.61)
3345: (x,y) = (-627.639, 319.602)
3346: (x,y) = (-639.377, 322.097)
3347: (x,y) = (-646.765, 331.553)
3348: (x,y) = (-654.478, 322.361)
3349: (x,y) = (-661.014, 332.425)
3350: (x,y) = (-669.044, 341.343)
3351: (x,y) = (-677.379, 332.71)
3352: (x,y) = (-686.012, 341.046)
3353: (x,y) = (-697.966, 342.092)
3354: (x,y) = (-691.966, 331.7)
3355: (x,y) = (-703.964, 331.49)
3356: (x,y) = (-698.893, 320.615)
3357: (x,y) = (-692.712, 310.329)
3358: (x,y) = (-689.204, 321.804)
3359: (x,y) = (-683.57, 332.4)
3360: (x,y) = (-684.407, 320.429)
3361: (x,y) = (-687.31, 332.073)
3362: (x,y) = (-684.611, 343.765)
3363: (x,y) = (-685.03, 355.758)
3364: (x,y) = (-695.525, 361.575)
3365: (x,y) = (-690.077, 372.268)
3366: (x,y) = (-701.423, 368.361)
3367: (x,y) = (-691.031, 362.361)
3368: (x,y) = (-702.914, 364.031)
3369: (x,y) = (-693.997, 356.001)
3370: (x,y) = (-691.297, 344.309)
3371: (x,y) = (-688.802, 332.571)
3372: (x,y) = (-699.398, 338.205)
3373: (x,y) = (-694.137, 348.99)
3374: (x,y) = (-697.445, 337.455)
3375: (x,y) = (-691.086, 327.278)
3376: (x,y) = (-702.938, 329.156)
3377: (x,y) = (-696.228, 339.104)
3378: (x,y) = (-705.811, 331.882)
3379: (x,y) = (-712.347, 321.818)
3380: (x,y) = (-715.855, 333.294)
3381: (x,y) = (-727.81, 332.248)
3382: (x,y) = (-726.347, 344.159)
3383: (x,y) = (-720.347, 354.551)
3384: (x,y) = (-713.637, 344.603)
3385: (x,y) = (-724.983, 348.509)
3386: (x,y) = (-720.488, 359.636)
3387: (x,y) = (-727.371, 349.806)
3388: (x,y) = (-715.678, 347.106)
3389: (x,y) = (-703.899, 344.817)
3390: (x,y) = (-709.717, 355.312)
3391: (x,y) = (-700.261, 347.924)
3392: (x,y) = (-692.547, 357.117)
3393: (x,y) = (-697.428, 368.079)
3394: (x,y) = (-697.009, 380.072)
3395: (x,y) = (-697.219, 392.07)
3396: (x,y) = (-685.22, 391.861)
3397: (x,y) = (-692.608, 382.404)
3398: (x,y) = (-684.424, 391.181)
3399: (x,y) = (-695.116, 396.629)
3400: (x,y) = (-694.071, 384.674)
3401: (x,y) = (-689.382, 395.72)
3402: (x,y) = (-678.179, 391.42)
3403: (x,y) = (-668.23, 398.13)
3404: (x,y) = (-676.414, 406.906)
3405: (x,y) = (-665.722, 401.459)
3406: (x,y) = (-671.356, 390.863)
3407: (x,y) = (-667.449, 379.517)
3408: (x,y) = (-667.24, 367.519)
3409: (x,y) = (-667.24, 355.519)
3410: (x,y) = (-671.735, 366.645)
3411: (x,y) = (-678.957, 376.229)
3412: (x,y) = (-688.905, 382.939)
3413: (x,y) = (-700.816, 384.401)
3414: (x,y) = (-693.762, 394.11)
3415: (x,y) = (-687.582, 404.396)
3416: (x,y) = (-678.389, 412.109)
3417: (x,y) = (-687.582, 419.823)
3418: (x,y) = (-695.766, 428.599)
3419: (x,y) = (-687.893, 419.542)
3420: (x,y) = (-681.713, 429.828)
3421: (x,y) = (-669.86, 427.951)
3422: (x,y) = (-681.336, 431.459)
3423: (x,y) = (-686.407, 420.584)
3424: (x,y) = (-691.855, 431.276)
3425: (x,y) = (-698.738, 441.106)
3426: (x,y) = (-699.366, 453.089)
3427: (x,y) = (-702.674, 464.624)
3428: (x,y) = (-709.896, 474.208)
3429: (x,y) = (-701.41, 465.723)
3430: (x,y) = (-702.248, 477.694)
3431: (x,y) = (-706.352, 466.417)
3432: (x,y) = (-710.456, 477.694)
3433: (x,y) = (-700.626, 470.811)
3434: (x,y) = (-689.035, 473.916)
3435: (x,y) = (-677.297, 471.421)
3436: (x,y) = (-680.605, 482.957)
3437: (x,y) = (-677.297, 471.421)
3438: (x,y) = (-684.685, 480.878)
3439: (x,y) = (-693.461, 472.694)
3440: (x,y) = (-689.555, 461.347)
3441: (x,y) = (-689.345, 473.346)
3442: (x,y) = (-689.555, 461.347)
3443: (x,y) = (-686.449, 449.756)
3444: (x,y) = (-696.625, 443.397)
3445: (x,y) = (-685.75, 448.469)
3446: (x,y) = (-693.779, 457.386)
3447: (x,y) = (-704.471, 451.939)
3448: (x,y) = (-693.509, 456.819)
3449: (x,y) = (-705.443, 458.074)
3450: (x,y) = (-707.113, 446.19)
3451: (x,y) = (-696.827, 440.01)
3452: (x,y) = (-684.827, 440.01)
3453: (x,y) = (-672.975, 441.887)
3454: (x,y) = (-661.699, 437.783)
3455: (x,y) = (-656.438, 448.569)
3456: (x,y) = (-645.392, 443.88)
3457: (x,y) = (-642.286, 455.471)
3458: (x,y) = (-653.762, 451.962)
3459: (x,y) = (-655.224, 463.873)
3460: (x,y) = (-662.938, 454.68)
3461: (x,y) = (-651.462, 458.189)
