Target Distance: 123, Step Size: 21
1294: (x,y) = (-1821.67, 4745.44)
1295: (x,y) = (-1825.96, 4868.36)
1296: (x,y) = (-1918.79, 4787.67)
1297: (x,y) = (-2041.32, 4798.39)
1298: (x,y) = (-1981.69, 4905.97)
1299: (x,y) = (-2104.39, 4914.55)
1300: (x,y) = (-2144.43, 5030.84)
1301: (x,y) = (-2254.99, 5084.76)
1302: (x,y) = (-2132.45, 5074.04)
1303: (x,y) = (-2069.1, 5179.48)
1304: (x,y) = (-2019.08, 5067.11)
1305: (x,y) = (-2046.74, 4947.26)
1306: (x,y) = (-2106.38, 4839.68)
1307: (x,y) = (-2222.68, 4879.73)
1308: (x,y) = (-2148.65, 4781.5)
1309: (x,y) = (-2074.63, 4683.26)
1310: (x,y) = (-2136.13, 4789.79)
1311: (x,y) = (-2186.16, 4677.42)
1312: (x,y) = (-2069.18, 4715.43)
1313: (x,y) = (-1982.2, 4628.45)
1314: (x,y) = (-2047.38, 4524.14)
1315: (x,y) = (-1935.91, 4472.16)
1316: (x,y) = (-1975.95, 4588.46)
1317: (x,y) = (-1869.43, 4649.96)
1318: (x,y) = (-1800.65, 4751.93)
1319: (x,y) = (-1713.68, 4838.91)
1320: (x,y) = (-1590.84, 4845.34)
1321: (x,y) = (-1707.82, 4883.35)
1322: (x,y) = (-1596.35, 4935.34)
1323: (x,y) = (-1512.46, 5025.29)
1324: (x,y) = (-1389.48, 5023.15)
1325: (x,y) = (-1447.23, 5131.75)
1326: (x,y) = (-1324.3, 5136.04)
1327: (x,y) = (-1202.82, 5116.8)
1328: (x,y) = (-1325.35, 5127.52)
1329: (x,y) = (-1204.61, 5104.05)
1330: (x,y) = (-1326.41, 5121.17)
1331: (x,y) = (-1319.97, 4998.34)
1332: (x,y) = (-1436.27, 4958.29)
1333: (x,y) = (-1518.58, 5049.7)
1334: (x,y) = (-1522.87, 4926.77)
1335: (x,y) = (-1550.54, 5046.62)
1336: (x,y) = (-1651.29, 4976.07)
1337: (x,y) = (-1749.52, 5050.09)
1338: (x,y) = (-1626.54, 5047.95)
1339: (x,y) = (-1639.4, 5170.27)
1340: (x,y) = (-1658.64, 5291.76)
1341: (x,y) = (-1686.31, 5411.61)
1342: (x,y) = (-1602.43, 5501.56)
1343: (x,y) = (-1576.85, 5381.25)
1344: (x,y) = (-1640.2, 5486.68)
1345: (x,y) = (-1755.03, 5530.76)
1346: (x,y) = (-1867.4, 5480.73)
1347: (x,y) = (-1751.1, 5440.69)
1348: (x,y) = (-1638.73, 5390.66)
1349: (x,y) = (-1568.18, 5491.42)
1350: (x,y) = (-1518.15, 5379.05)
1351: (x,y) = (-1492.58, 5258.74)
1352: (x,y) = (-1593.34, 5188.19)
1353: (x,y) = (-1716.04, 5179.61)
1354: (x,y) = (-1760.12, 5064.78)
1355: (x,y) = (-1747.26, 4942.45)
1356: (x,y) = (-1658.78, 4857.01)
1357: (x,y) = (-1774.36, 4814.94)
1358: (x,y) = (-1799.94, 4694.63)
1359: (x,y) = (-1791.36, 4817.33)
1360: (x,y) = (-1905.4, 4863.4)
1361: (x,y) = (-1849.56, 4753.81)
1362: (x,y) = (-1972.48, 4758.1)
1363: (x,y) = (-2044.78, 4857.61)
1364: (x,y) = (-2096.76, 4746.14)
1365: (x,y) = (-1999.84, 4821.86)
1366: (x,y) = (-1959.79, 4705.56)
1367: (x,y) = (-2068.4, 4763.31)
1368: (x,y) = (-1986.09, 4671.9)
1369: (x,y) = (-1926.46, 4779.48)
1370: (x,y) = (-1826.95, 4851.78)
1371: (x,y) = (-1944.58, 4815.82)
1372: (x,y) = (-1877.59, 4712.66)
1373: (x,y) = (-1983.02, 4649.31)
1374: (x,y) = (-1917.84, 4753.62)
1375: (x,y) = (-2040.17, 4766.48)
1376: (x,y) = (-1941.93, 4692.45)
1377: (x,y) = (-1946.23, 4569.53)
1378: (x,y) = (-2069.23, 4569.53)
1379: (x,y) = (-1968.47, 4640.08)
1380: (x,y) = (-2002.37, 4758.31)
1381: (x,y) = (-1985.26, 4880.12)
1382: (x,y) = (-2108.24, 4882.26)
1383: (x,y) = (-2015.41, 4962.96)
1384: (x,y) = (-1893.6, 4980.08)
1385: (x,y) = (-1991.84, 4906.05)
1386: (x,y) = (-2057.02, 4801.74)
1387: (x,y) = (-1934.32, 4810.32)
1388: (x,y) = (-1837.39, 4734.6)
1389: (x,y) = (-1883.47, 4620.55)
1390: (x,y) = (-1767.89, 4662.62)
1391: (x,y) = (-1712.04, 4553.03)
1392: (x,y) = (-1589.34, 4561.61)
1393: (x,y) = (-1639.37, 4673.97)
1394: (x,y) = (-1613.8, 4794.29)
1395: (x,y) = (-1502.32, 4742.3)
1396: (x,y) = (-1621.67, 4772.06)
1397: (x,y) = (-1502.32, 4801.82)
1398: (x,y) = (-1446.48, 4692.22)
1399: (x,y) = (-1437.9, 4814.92)
1400: (x,y) = (-1404, 4933.16)
1401: (x,y) = (-1372.16, 5051.97)
1402: (x,y) = (-1357.17, 5174.05)
1403: (x,y) = (-1405.23, 5287.27)
1404: (x,y) = (-1437.07, 5406.08)
1405: (x,y) = (-1557.38, 5431.66)
1406: (x,y) = (-1494.03, 5537.09)
1407: (x,y) = (-1523.79, 5656.43)
1408: (x,y) = (-1410.57, 5704.49)
1409: (x,y) = (-1494.45, 5614.54)
1410: (x,y) = (-1559.63, 5510.23)
1411: (x,y) = (-1673.68, 5464.15)
1412: (x,y) = (-1643.92, 5344.8)
1413: (x,y) = (-1526.29, 5380.77)
1414: (x,y) = (-1504.93, 5259.63)
1415: (x,y) = (-1393.46, 5311.62)
1416: (x,y) = (-1293.95, 5383.91)
1417: (x,y) = (-1171.02, 5379.62)
1418: (x,y) = (-1058.66, 5329.59)
1419: (x,y) = (-993.479, 5225.28)
1420: (x,y) = (-987.041, 5102.45)
1421: (x,y) = (-959.372, 5222.3)
1422: (x,y) = (-919.327, 5338.6)
1423: (x,y) = (-817.356, 5269.82)
1424: (x,y) = (-847.112, 5389.16)
1425: (x,y) = (-741.681, 5325.81)
1426: (x,y) = (-620.195, 5345.06)
1427: (x,y) = (-521.963, 5419.08)
1428: (x,y) = (-479.894, 5303.5)
1429: (x,y) = (-435.815, 5418.33)
1430: (x,y) = (-489.735, 5528.88)
1431: (x,y) = (-366.81, 5533.17)
1432: (x,y) = (-406.855, 5416.87)
1433: (x,y) = (-311.266, 5339.47)
1434: (x,y) = (-188.341, 5343.76)
1435: (x,y) = (-307.149, 5311.92)
1436: (x,y) = (-382.876, 5408.85)
1437: (x,y) = (-408.449, 5529.16)
1438: (x,y) = (-417.029, 5406.46)
1439: (x,y) = (-339.623, 5502.05)
1440: (x,y) = (-377.632, 5385.07)
1441: (x,y) = (-318, 5492.65)
1442: (x,y) = (-412.224, 5413.58)
1443: (x,y) = (-511.733, 5485.88)
1444: (x,y) = (-465.656, 5371.84)
1445: (x,y) = (-355.104, 5425.76)
1446: (x,y) = (-266.626, 5511.2)
1447: (x,y) = (-175.219, 5593.5)
1448: (x,y) = (-181.656, 5716.34)
1449: (x,y) = (-141.611, 5832.63)
1450: (x,y) = (-158.729, 5710.83)
1451: (x,y) = (-175.848, 5832.63)
1452: (x,y) = (-225.876, 5945)
1453: (x,y) = (-332.397, 6006.5)
1454: (x,y) = (-254.991, 6102.09)
1455: (x,y) = (-214.946, 6218.39)
1456: (x,y) = (-95.5998, 6188.63)
1457: (x,y) = (-121.173, 6308.94)
1458: (x,y) = (-177.014, 6199.35)
1459: (x,y) = (-291.057, 6245.43)
1460: (x,y) = (-318.726, 6125.58)
1461: (x,y) = (-421.883, 6192.57)
1462: (x,y) = (-504.186, 6101.16)
1463: (x,y) = (-597.015, 6181.86)
1464: (x,y) = (-489.437, 6241.49)
1465: (x,y) = (-422.446, 6138.33)
1466: (x,y) = (-454.281, 6257.14)
1467: (x,y) = (-406.221, 6370.36)
1468: (x,y) = (-290.639, 6328.3)
1469: (x,y) = (-216.616, 6426.53)
1470: (x,y) = (-274.361, 6535.13)
1471: (x,y) = (-396.164, 6552.25)
1472: (x,y) = (-417.522, 6673.38)
1473: (x,y) = (-494.929, 6577.79)
1474: (x,y) = (-497.076, 6700.77)
1475: (x,y) = (-528.91, 6581.96)
1476: (x,y) = (-429.401, 6509.67)
1477: (x,y) = (-535.922, 6571.17)
1478: (x,y) = (-497.913, 6454.19)
1479: (x,y) = (-423.89, 6552.42)
1480: (x,y) = (-546.721, 6558.86)
1481: (x,y) = (-448.489, 6484.83)
1482: (x,y) = (-509.989, 6378.31)
1483: (x,y) = (-471.98, 6495.29)
1484: (x,y) = (-594.961, 6497.44)
1485: (x,y) = (-565.205, 6616.78)
1486: (x,y) = (-558.768, 6493.95)
1487: (x,y) = (-484.744, 6395.72)
1488: (x,y) = (-534.773, 6508.09)
1489: (x,y) = (-582.833, 6621.31)
1490: (x,y) = (-534.773, 6734.53)
1491: (x,y) = (-652.399, 6698.57)
1492: (x,y) = (-635.28, 6820.37)
1493: (x,y) = (-579.439, 6929.97)
1494: (x,y) = (-456.514, 6925.67)
1495: (x,y) = (-579.346, 6932.11)
1496: (x,y) = (-642.695, 6826.68)
1497: (x,y) = (-566.969, 6729.75)
1498: (x,y) = (-676.563, 6785.6)
1499: (x,y) = (-640.601, 6903.22)
1500: (x,y) = (-520.754, 6930.89)
1501: (x,y) = (-432.275, 6845.45)
1502: (x,y) = (-427.982, 6968.37)
1503: (x,y) = (-368.351, 7075.95)
1504: (x,y) = (-257.799, 7022.03)
1505: (x,y) = (-376.034, 6988.13)
1506: (x,y) = (-326.006, 6875.76)
1507: (x,y) = (-442.304, 6835.72)
1508: (x,y) = (-484.373, 6720.13)
1509: (x,y) = (-363.633, 6696.66)
1510: (x,y) = (-264.124, 6624.37)
1511: (x,y) = (-371.702, 6564.73)
1512: (x,y) = (-482.253, 6618.65)
1513: (x,y) = (-366.671, 6660.72)
1514: (x,y) = (-412.748, 6546.68)
1515: (x,y) = (-527.578, 6502.6)
1516: (x,y) = (-585.323, 6611.2)
1517: (x,y) = (-629.403, 6726.03)
1518: (x,y) = (-589.358, 6609.73)
1519: (x,y) = (-712.339, 6611.88)
1520: (x,y) = (-690.98, 6733.01)
1521: (x,y) = (-599.573, 6815.32)
1522: (x,y) = (-477.49, 6800.33)
1523: (x,y) = (-366.014, 6748.34)
1524: (x,y) = (-486.326, 6722.77)
1525: (x,y) = (-494.907, 6600.07)
1526: (x,y) = (-600.338, 6663.42)
1527: (x,y) = (-477.507, 6656.98)
1528: (x,y) = (-523.583, 6771.03)
1529: (x,y) = (-400.658, 6775.32)
1530: (x,y) = (-278.332, 6762.46)
1531: (x,y) = (-392.376, 6808.54)
1532: (x,y) = (-432.421, 6692.24)
1533: (x,y) = (-309.589, 6685.8)
1534: (x,y) = (-418.192, 6628.06)
1535: (x,y) = (-521.348, 6561.07)
1536: (x,y) = (-555.252, 6679.3)
1537: (x,y) = (-625.801, 6578.55)
1538: (x,y) = (-551.778, 6480.31)
1539: (x,y) = (-449.807, 6411.53)
1540: (x,y) = (-345.497, 6346.35)
1541: (x,y) = (-419.52, 6444.59)
1542: (x,y) = (-534.35, 6488.66)
1543: (x,y) = (-508.777, 6608.98)
1544: (x,y) = (-519.497, 6731.51)
1545: (x,y) = (-481.488, 6614.53)
1546: (x,y) = (-381.979, 6686.83)
1547: (x,y) = (-352.223, 6806.17)
1548: (x,y) = (-239.001, 6758.11)
1549: (x,y) = (-143.412, 6835.52)
1550: (x,y) = (-134.832, 6712.82)
1551: (x,y) = (-109.258, 6833.13)
1552: (x,y) = (-47.7585, 6939.65)
1553: (x,y) = (70.4767, 6973.56)
1554: (x,y) = (122.459, 6862.08)
1555: (x,y) = (236.502, 6908.16)
1556: (x,y) = (330.726, 6829.09)
1557: (x,y) = (445.556, 6873.17)
1558: (x,y) = (497.538, 6761.7)
1559: (x,y) = (614.518, 6723.69)
1560: (x,y) = (500.475, 6677.61)
1561: (x,y) = (379.734, 6654.14)
1562: (x,y) = (499.582, 6626.47)
1563: (x,y) = (523.051, 6505.73)
1564: (x,y) = (619.977, 6581.46)
1565: (x,y) = (653.88, 6463.22)
1566: (x,y) = (583.33, 6563.98)
1567: (x,y) = (465.705, 6528.02)
1568: (x,y) = (389.978, 6431.09)
1569: (x,y) = (464.002, 6332.86)
1570: (x,y) = (413.973, 6445.23)
1571: (x,y) = (431.091, 6323.42)
1572: (x,y) = (362.311, 6425.39)
1573: (x,y) = (423.811, 6318.87)
1574: (x,y) = (475.793, 6430.35)
1575: (x,y) = (370.361, 6493.7)
1576: (x,y) = (374.654, 6370.77)
1577: (x,y) = (254.342, 6345.2)
1578: (x,y) = (132.539, 6328.08)
1579: (x,y) = (254.024, 6347.32)
1580: (x,y) = (131.099, 6343.03)
1581: (x,y) = (91.0544, 6226.73)
1582: (x,y) = (198.633, 6286.36)
1583: (x,y) = (86.2665, 6236.34)
1584: (x,y) = (111.84, 6356.65)
1585: (x,y) = (17.6162, 6277.58)
1586: (x,y) = (45.2851, 6157.74)
1587: (x,y) = (-71.0136, 6197.78)
1588: (x,y) = (-126.854, 6088.19)
1589: (x,y) = (-92.9511, 5969.95)
1590: (x,y) = (6.558, 5897.66)
1591: (x,y) = (106.067, 5825.36)
1592: (x,y) = (-16.9329, 5825.36)
1593: (x,y) = (91.6696, 5767.61)
1594: (x,y) = (22.8889, 5665.64)
1595: (x,y) = (132.483, 5721.48)
1596: (x,y) = (10.1565, 5734.34)
1597: (x,y) = (14.4492, 5857.26)
1598: (x,y) = (-45.1824, 5964.84)
1599: (x,y) = (-125.878, 6057.67)
1600: (x,y) = (-43.5746, 5966.27)
1601: (x,y) = (-83.6195, 6082.56)
1602: (x,y) = (-201.855, 6116.47)
1603: (x,y) = (-88.6326, 6164.53)
1604: (x,y) = (15.6773, 6099.35)
1605: (x,y) = (-107.304, 6101.49)
1606: (x,y) = (-45.8039, 5994.97)
1607: (x,y) = (70.4948, 5954.93)
1608: (x,y) = (1.71412, 6056.9)
1609: (x,y) = (63.2141, 5950.38)
1610: (x,y) = (182.023, 5918.54)
1611: (x,y) = (203.382, 5797.41)
1612: (x,y) = (121.079, 5888.82)
1613: (x,y) = (241.819, 5865.35)
1614: (x,y) = (363.902, 5850.36)
1615: (x,y) = (260.746, 5783.37)
1616: (x,y) = (383.072, 5796.23)
1617: (x,y) = (304.009, 5702)
1618: (x,y) = (248.168, 5811.6)
1619: (x,y) = (127.856, 5837.17)
1620: (x,y) = (64.5061, 5942.6)
1621: (x,y) = (-7.79144, 6042.11)
1622: (x,y) = (-14.2288, 6164.94)
1623: (x,y) = (78.6005, 6084.25)
1624: (x,y) = (95.7188, 5962.44)
1625: (x,y) = (179.605, 5872.49)
1626: (x,y) = (131.545, 5759.26)
1627: (x,y) = (241.138, 5815.11)
1628: (x,y) = (256.128, 5937.19)
1629: (x,y) = (378.96, 5943.63)
1630: (x,y) = (402.429, 6064.37)
1631: (x,y) = (428.002, 5944.05)
1632: (x,y) = (335.173, 6024.75)
1633: (x,y) = (225.579, 6080.59)
1634: (x,y) = (331.011, 6017.24)
1635: (x,y) = (333.158, 5894.26)
1636: (x,y) = (237.569, 5816.85)
1637: (x,y) = (356.915, 5846.61)
1638: (x,y) = (420.265, 5741.18)
1639: (x,y) = (526.786, 5802.68)
1640: (x,y) = (647.526, 5779.21)
1641: (x,y) = (524.545, 5781.35)
1642: (x,y) = (468.704, 5671.76)
1643: (x,y) = (434.801, 5790)
1644: (x,y) = (531.726, 5714.27)
1645: (x,y) = (428.569, 5781.26)
1646: (x,y) = (307.829, 5757.79)
1647: (x,y) = (333.402, 5637.48)
1648: (x,y) = (394.902, 5530.96)
1649: (x,y) = (508.946, 5577.03)
1650: (x,y) = (534.519, 5697.35)
1651: (x,y) = (422.153, 5647.32)
1652: (x,y) = (320.181, 5716.1)
1653: (x,y) = (381.681, 5609.58)
1654: (x,y) = (331.653, 5721.94)
1655: (x,y) = (232.144, 5794.24)
1656: (x,y) = (186.067, 5680.2)
1657: (x,y) = (130.226, 5789.79)
1658: (x,y) = (233.383, 5856.78)
1659: (x,y) = (135.151, 5782.76)
1660: (x,y) = (135.151, 5659.76)
1661: (x,y) = (14.0192, 5638.4)
1662: (x,y) = (-108.962, 5636.25)
1663: (x,y) = (9.84682, 5668.09)
1664: (x,y) = (-0.873341, 5790.62)
1665: (x,y) = (35.0884, 5672.99)
1666: (x,y) = (-64.4207, 5600.7)
1667: (x,y) = (-125.921, 5494.18)
1668: (x,y) = (-247.406, 5474.93)
1669: (x,y) = (-127.559, 5447.27)
1670: (x,y) = (-237.153, 5391.42)
1671: (x,y) = (-357.465, 5365.85)
1672: (x,y) = (-323.561, 5484.09)
1673: (x,y) = (-433.155, 5428.25)
1674: (x,y) = (-533.911, 5498.8)
1675: (x,y) = (-577.99, 5613.63)
1676: (x,y) = (-674.916, 5537.9)
1677: (x,y) = (-747.213, 5637.41)
1678: (x,y) = (-795.273, 5524.19)
1679: (x,y) = (-703.866, 5606.49)
1680: (x,y) = (-826.567, 5597.91)
1681: (x,y) = (-750.84, 5694.83)
1682: (x,y) = (-853.997, 5627.84)
1683: (x,y) = (-754.488, 5700.14)
1684: (x,y) = (-870.786, 5660.1)
1685: (x,y) = (-760.235, 5714.02)
1686: (x,y) = (-825.415, 5818.33)
1687: (x,y) = (-922.34, 5894.05)
1688: (x,y) = (-830.933, 5976.36)
1689: (x,y) = (-920.89, 6060.24)
1690: (x,y) = (-876.811, 6175.07)
1691: (x,y) = (-947.36, 6275.83)
1692: (x,y) = (-1050.52, 6208.84)
1693: (x,y) = (-935.687, 6164.76)
1694: (x,y) = (-1058.39, 6156.18)
1695: (x,y) = (-982.661, 6059.25)
1696: (x,y) = (-908.637, 6157.48)
1697: (x,y) = (-900.057, 6280.19)
1698: (x,y) = (-827.76, 6180.68)
1699: (x,y) = (-871.839, 6065.85)
1700: (x,y) = (-794.433, 5970.26)
1701: (x,y) = (-911.412, 6008.27)
1702: (x,y) = (-873.403, 6125.25)
1703: (x,y) = (-995.206, 6142.36)
1704: (x,y) = (-999.499, 6265.29)
1705: (x,y) = (-1025.07, 6385.6)
1706: (x,y) = (-924.316, 6456.15)
1707: (x,y) = (-1041.94, 6420.19)
1708: (x,y) = (-925.643, 6460.23)
1709: (x,y) = (-908.525, 6338.43)
1710: (x,y) = (-870.516, 6455.41)
1711: (x,y) = (-747.984, 6466.13)
1712: (x,y) = (-869.469, 6485.37)
1713: (x,y) = (-880.19, 6607.9)
1714: (x,y) = (-765.359, 6563.83)
1715: (x,y) = (-866.115, 6634.38)
1716: (x,y) = (-985.461, 6664.13)
1717: (x,y) = (-1087.43, 6595.35)
1718: (x,y) = (-1192.86, 6658.7)
1719: (x,y) = (-1226.77, 6776.94)
1720: (x,y) = (-1348.57, 6759.82)
1721: (x,y) = (-1462.61, 6805.89)
1722: (x,y) = (-1522.25, 6698.32)
1723: (x,y) = (-1404.01, 6732.22)
1724: (x,y) = (-1505.98, 6801)
1725: (x,y) = (-1401.67, 6866.18)
1726: (x,y) = (-1524.5, 6872.62)
1727: (x,y) = (-1612.98, 6958.06)
1728: (x,y) = (-1638.56, 7078.37)
1729: (x,y) = (-1617.2, 6957.24)
1730: (x,y) = (-1642.77, 7077.55)
1731: (x,y) = (-1713.32, 6976.8)
1732: (x,y) = (-1623.36, 6892.91)
1733: (x,y) = (-1728.8, 6956.26)
1734: (x,y) = (-1707.44, 6835.13)
1735: (x,y) = (-1805.67, 6761.11)
1736: (x,y) = (-1735.12, 6660.35)
1737: (x,y) = (-1642.29, 6741.05)
1738: (x,y) = (-1577.11, 6845.36)
1739: (x,y) = (-1611.01, 6727.12)
1740: (x,y) = (-1494.71, 6687.08)
1741: (x,y) = (-1573.78, 6781.3)
1742: (x,y) = (-1615.85, 6665.72)
1743: (x,y) = (-1698.15, 6757.12)
1744: (x,y) = (-1670.48, 6637.28)
1745: (x,y) = (-1567.32, 6704.27)
1746: (x,y) = (-1449.09, 6738.17)
1747: (x,y) = (-1425.62, 6617.43)
1748: (x,y) = (-1304.13, 6636.67)
1749: (x,y) = (-1331.8, 6516.82)
1750: (x,y) = (-1454.78, 6514.68)
1751: (x,y) = (-1332.25, 6503.96)
1752: (x,y) = (-1215.27, 6465.95)
1753: (x,y) = (-1094.14, 6487.31)
1754: (x,y) = (-1215.63, 6468.07)
1755: (x,y) = (-1305.58, 6551.95)
1756: (x,y) = (-1218.61, 6464.98)
1757: (x,y) = (-1335.59, 6426.97)
1758: (x,y) = (-1451.17, 6469.04)
1759: (x,y) = (-1453.32, 6592.02)
1760: (x,y) = (-1576.02, 6600.6)
1761: (x,y) = (-1631.86, 6491)
1762: (x,y) = (-1531.1, 6420.45)
1763: (x,y) = (-1601.65, 6521.21)
1764: (x,y) = (-1478.95, 6512.63)
1765: (x,y) = (-1600.44, 6531.87)
1766: (x,y) = (-1518.13, 6623.28)
1767: (x,y) = (-1399.9, 6657.18)
1768: (x,y) = (-1465.08, 6761.49)
1769: (x,y) = (-1477.94, 6639.17)
1770: (x,y) = (-1469.36, 6761.87)
1771: (x,y) = (-1578.95, 6817.71)
1772: (x,y) = (-1460.71, 6851.61)
1773: (x,y) = (-1573.08, 6801.58)
1774: (x,y) = (-1664.49, 6719.28)
1775: (x,y) = (-1766.46, 6650.5)
1776: (x,y) = (-1654.98, 6702.48)
1777: (x,y) = (-1777.68, 6711.06)
1778: (x,y) = (-1661.38, 6751.11)
1779: (x,y) = (-1782.52, 6729.75)
1780: (x,y) = (-1685.59, 6805.47)
1781: (x,y) = (-1766.29, 6898.3)
1782: (x,y) = (-1864.52, 6972.33)
1783: (x,y) = (-1780.63, 6882.37)
1784: (x,y) = (-1668.27, 6932.4)
1785: (x,y) = (-1547.53, 6908.93)
1786: (x,y) = (-1482.35, 7013.24)
1787: (x,y) = (-1364.11, 6979.33)
1788: (x,y) = (-1278.67, 6890.86)
1789: (x,y) = (-1371.5, 6810.16)
1790: (x,y) = (-1358.64, 6932.49)
1791: (x,y) = (-1460.61, 6863.71)
1792: (x,y) = (-1430.86, 6983.05)
1793: (x,y) = (-1530.36, 7055.35)
1794: (x,y) = (-1408.28, 7070.34)
1795: (x,y) = (-1531.11, 7063.9)
1796: (x,y) = (-1616.56, 6975.42)
1797: (x,y) = (-1496.71, 6947.75)
1798: (x,y) = (-1378.47, 6981.66)
1799: (x,y) = (-1476.71, 7055.68)
1800: (x,y) = (-1508.54, 6936.87)
1801: (x,y) = (-1398.95, 6992.71)
1802: (x,y) = (-1506.52, 7052.34)
1803: (x,y) = (-1566.16, 7159.92)
1804: (x,y) = (-1553.3, 7282.25)
1805: (x,y) = (-1672.65, 7252.49)
1806: (x,y) = (-1694, 7373.62)
1807: (x,y) = (-1816.09, 7358.63)
1808: (x,y) = (-1937.22, 7337.28)
1809: (x,y) = (-2058.7, 7318.03)
1810: (x,y) = (-2181.69, 7315.89)
1811: (x,y) = (-2099.38, 7224.48)
1812: (x,y) = (-2097.24, 7101.5)
1813: (x,y) = (-2118.59, 7222.63)
1814: (x,y) = (-2118.59, 7099.63)
1815: (x,y) = (-2122.89, 6976.71)
1816: (x,y) = (-2032.93, 7060.59)
1817: (x,y) = (-2064.77, 7179.4)
1818: (x,y) = (-2094.52, 7298.75)
1819: (x,y) = (-2201.04, 7360.25)
1820: (x,y) = (-2241.09, 7476.55)
1821: (x,y) = (-2264.56, 7597.29)
1822: (x,y) = (-2357.39, 7516.59)
1823: (x,y) = (-2235.58, 7499.47)
1824: (x,y) = (-2347.06, 7551.45)
1825: (x,y) = (-2424.47, 7455.87)
1826: (x,y) = (-2476.45, 7567.34)
1827: (x,y) = (-2392.56, 7477.38)
1828: (x,y) = (-2481.04, 7562.83)
1829: (x,y) = (-2359.91, 7541.47)
1830: (x,y) = (-2237.83, 7556.46)
1831: (x,y) = (-2267.58, 7437.11)
1832: (x,y) = (-2387.9, 7462.69)
1833: (x,y) = (-2368.65, 7584.17)
1834: (x,y) = (-2252.35, 7624.22)
1835: (x,y) = (-2133.01, 7653.97)
1836: (x,y) = (-2249.31, 7694.02)
1837: (x,y) = (-2175.28, 7792.25)
1838: (x,y) = (-2101.26, 7694.02)
1839: (x,y) = (-2213.63, 7744.05)
1840: (x,y) = (-2090.65, 7746.19)
1841: (x,y) = (-2213.48, 7739.76)
1842: (x,y) = (-2202.76, 7862.29)
1843: (x,y) = (-2080.22, 7873.01)
1844: (x,y) = (-1963.25, 7911.02)
1845: (x,y) = (-1889.22, 7812.78)
1846: (x,y) = (-1767.42, 7829.9)
1847: (x,y) = (-1651.12, 7789.86)
1848: (x,y) = (-1541.53, 7734.02)
1849: (x,y) = (-1497.45, 7848.85)
1850: (x,y) = (-1386.9, 7794.93)
1851: (x,y) = (-1452.08, 7899.24)
1852: (x,y) = (-1379.78, 7998.75)
1853: (x,y) = (-1403.25, 8119.49)
1854: (x,y) = (-1341.75, 8226.01)
1855: (x,y) = (-1458.05, 8266.05)
1856: (x,y) = (-1411.97, 8152.01)
1857: (x,y) = (-1458.05, 8266.05)
1858: (x,y) = (-1402.21, 8156.46)
1859: (x,y) = (-1340.71, 8262.98)
1860: (x,y) = (-1264.98, 8166.05)
1861: (x,y) = (-1269.27, 8288.98)
1862: (x,y) = (-1391.35, 8303.97)
1863: (x,y) = (-1510.16, 8272.13)
1864: (x,y) = (-1510.16, 8149.13)
1865: (x,y) = (-1628.4, 8115.23)
1866: (x,y) = (-1538.44, 8031.35)
1867: (x,y) = (-1445.61, 8112.04)
1868: (x,y) = (-1441.32, 7989.12)
1869: (x,y) = (-1320.58, 7965.65)
1870: (x,y) = (-1341.94, 8086.78)
1871: (x,y) = (-1259.64, 8178.18)
1872: (x,y) = (-1175.75, 8088.23)
1873: (x,y) = (-1053.95, 8071.11)
1874: (x,y) = (-1166.31, 8121.14)
1875: (x,y) = (-1095.76, 8221.89)
1876: (x,y) = (-1076.52, 8343.38)
1877: (x,y) = (-1093.64, 8465.18)
1878: (x,y) = (-1205.12, 8413.2)
1879: (x,y) = (-1190.13, 8535.28)
1880: (x,y) = (-1071.89, 8501.38)
1881: (x,y) = (-977.667, 8580.44)
1882: (x,y) = (-1099.15, 8561.2)
1883: (x,y) = (-1103.45, 8684.13)
1884: (x,y) = (-1225.25, 8667.01)
1885: (x,y) = (-1105.9, 8696.77)
1886: (x,y) = (-1120.89, 8818.85)
1887: (x,y) = (-1243.22, 8805.99)
1888: (x,y) = (-1366.14, 8801.7)
1889: (x,y) = (-1480.19, 8755.62)
1890: (x,y) = (-1383.26, 8679.9)
1891: (x,y) = (-1261.18, 8694.89)
1892: (x,y) = (-1180.48, 8602.06)
1893: (x,y) = (-1236.32, 8711.65)
1894: (x,y) = (-1274.33, 8594.67)
1895: (x,y) = (-1182.93, 8512.37)
1896: (x,y) = (-1227.01, 8627.2)
1897: (x,y) = (-1333.53, 8565.7)
1898: (x,y) = (-1210.99, 8554.98)
1899: (x,y) = (-1103.42, 8614.61)
1900: (x,y) = (-1147.5, 8729.44)
1901: (x,y) = (-1181.4, 8847.67)
1902: (x,y) = (-1288.98, 8907.31)
1903: (x,y) = (-1208.28, 8814.48)
1904: (x,y) = (-1154.36, 8925.03)
1905: (x,y) = (-1233.43, 8830.81)
1906: (x,y) = (-1331.66, 8756.78)
1907: (x,y) = (-1444.88, 8804.84)
1908: (x,y) = (-1550.31, 8741.49)
1909: (x,y) = (-1637.29, 8828.47)
1910: (x,y) = (-1760.21, 8824.17)
1911: (x,y) = (-1695.03, 8719.86)
1912: (x,y) = (-1645, 8832.23)
1913: (x,y) = (-1634.28, 8709.7)
1914: (x,y) = (-1588.21, 8595.65)
1915: (x,y) = (-1626.21, 8478.67)
1916: (x,y) = (-1728.19, 8409.89)
1917: (x,y) = (-1706.83, 8288.76)
